"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1441,"Jamie Lowe4",92.3333321,0,"","SCT",1089,6.0,8,28,4,0,174,11,2,358,0,8.0,1381914
1442,"Jesús Esteban",92.0,0,"","ES",1803,4.0,11,16,58,4,96,11,1,229,4,4.0,1263206
1443,"Zakariya Sikander",92.0,0,"","GB",1904,3.0,8,10,41,4,65,11,1,148,1,6.0,1394755
1444,"Conor Perkins",92.0,0,"","GB",1704,1.0,4,4,53,4,7,11,1,59,2,2.0,1134607
1445,"Andrew Riffle",92.0,0,"","US",933,4.0,6,9,19,2,62,8,2,69,1,4.0,1266938
1446,"Matthew Church2",92.0,0,"","NZ",1205,5.0,2,5,16,2,24,11,2,34,1,3.0,1190862
1447,"Mark Reece2",92.0,0,"","US",760,7.0,25,48,7,1,159,10,2,425,0,8.0,1166697
1448,"Roman Motorin2",92.0,0,"","PL",1059,6.0,9,27,12,1,165,11,2,302,0,6.0,1388585
1449,"Alfonso Conejero",92.0,0,"","ES",1050,4.0,2,3,20,1,16,11,2,23,0,4.0,1370153
1450,"Hampus Jundalen",92.0,0,"","SE",1355,4.0,2,3,9,1,19,11,2,35,1,3.0,1323853
1451,"Andrew Hughes9",92.0,0,"","US",1310,7.0,2,4,5,1,33,8,2,36,0,7.0,992034
1452,"Peter Carr",92.0,0,"","AU",2032,1.0,1,1,7,1,2,5,1,9,0,2.0,694164
1453,"Adam Wilson-Weir",92.0,0,"","NIR",1701,1.0,1,1,9,1,3,5,1,9,1,1.0,1095068
1454,"Frank Morales3",92.0,0,"","AR",1074,7.0,1,6,9,1,38,11,2,53,0,6.0,1391270
1455,"Matthew Mccoy5",92.0,0,"","US",1514,8.0,1,3,7,1,4,6,1,9,1,8.0,1123186
1456,"Brayan Slonina",92.0,0,"","PL",1051,7.0,6,19,0,0,40,11,2,183,0,10.0,1398948
1457,"Simon De Kort",92.0,0,"","BE",1884,6.0,5,7,0,0,24,5,1,104,0,5.0,926929
1458,"Jason M Coates",92.0,0,"","ENG",1995,8.0,3,10,0,0,41,3,1,90,0,6.0,583609
1459,"Artem Paramonov2",92.0,0,"","KZ",922,4.0,2,3,0,0,16,10,2,36,0,5.0,1280940
1460,"Zander Parkin",92.0,0,"","GB",1856,6.0,2,5,0,0,13,5,1,75,0,6.0,665073
1461,"Frederick Beacham",92.0,0,"","IM",2437,6.0,2,4,8,0,28,2,1,57,0,5.0,1056749
1462,"Darylynn Gonzalez",92.0,0,"","US",1278,6.0,2,4,0,0,29,11,2,38,0,6.0,1392925
1463,"John Buckles",92.0,0,"","US",1113,7.0,2,6,0,0,41,11,2,55,0,7.0,644458
1464,"Asdafas Safdagas",92.0,0,"","CR",1491,7.0,2,5,2,0,65,5,2,40,0,6.0,1317587
1465,"Fabian Camp Mussa",92.0,0,"","MX",1042,7.0,2,8,0,0,92,11,2,70,0,6.0,1397409
1466,"Joseph Bargo",92.0,0,"","PS",2779,3.0,1,1,0,0,2,2,1,15,0,3.0,684694
1467,"Will Tidnam",92.0,0,"","GB",1660,4.0,1,2,2,0,21,5,1,30,1,3.0,935893
1468,"Daniel Glinski",92.0,0,"","CA",2199,8.0,1,2,0,0,6,3,2,15,0,8.0,417955
1469,"Joe Wild",92.0,0,"","AU",2163,8.0,1,2,0,0,11,3,1,18,0,7.0,47601
1470,"Guillaume Van Houte",92.0,0,"","BE",3394,8.0,1,2,0,0,14,2,1,15,0,8.0,964469
1471,"Miguel Vazquez2",92.0,0,"","US",1200,8.0,1,5,0,0,64,11,2,35,1,6.0,1387220
1472,"Garry Samson",92.0,0,"","US",1557,8.0,0,3,0,0,7,5,2,38,0,10.0,814388
1473,"Jayden Winter",91.5,0,"","DE",1678,3.0,4,6,45,3,22,11,1,89,4,2.0,1367178
1474,"Mauro Andrés Savio",91.5,0,"","AR",1734,4.0,5,7,25,2,39,11,1,87,0,4.0,1389740
1475,"Hezekiah Carino",91.5,0,"","CA",1142,5.0,4,6,28,2,33,11,1,74,1,4.0,944053
1476,"Thomas Olifirenkoff",91.5,0,"","FR",2019,7.0,4,15,0,0,56,3,1,208,0,8.0,1349083
1477,"Adam Herron3",91.0,0,"","IE",1632,4.0,6,8,43,3,45,11,1,113,0,5.0,1382550
1478,"Jhon Sebastian Bernal",91.0,0,"","US",1709,6.0,4,8,11,1,19,6,1,105,1,10.0,1234106
1479,"Vadim Semiletov",91.0,0,"","KZ",1691,1.0,1,1,9,1,0,6,1,9,0,2.0,1374177
1480,"Christoph Bühler",91.0,0,"","DE",1935,1.0,1,1,5,1,1,4,1,8,0,3.0,1010202
1481,"Noah Sorsby3",91.0,0,"","GB",1763,1.0,1,1,3,1,2,4,1,9,1,1.0,1311923
1482,"Jackson Morrison",91.0,0,"","US",1784,4.0,1,2,6,1,5,5,1,17,0,7.0,568558
1483,"Gareth Higgott",91.0,0,"","CA",1802,6.0,1,3,15,1,15,4,1,45,1,3.0,1378915
1484,"Drew Zaruba",91.0,0,"","US",2086,5.0,4,5,0,0,11,4,1,75,0,7.0,461322
1485,"Kaden Field",91.0,0,"","US",1209,7.0,4,12,0,0,79,11,2,112,0,8.0,1395149
1486,"Raunak Chhabra",91.0,0,"","IN",1030,5.0,3,5,0,0,23,11,2,50,0,8.0,1374204
1487,"Francisco Castellano",91.0,0,"","ES",1446,5.0,3,5,0,0,27,8,2,68,0,8.0,1347225
1488,"Hendrix Biggs",91.0,0,"","US",1258,6.0,3,10,0,0,53,11,2,118,0,8.0,1261915
1489,"Brandon Kitt",91.0,0,"","AU",1298,6.0,3,9,0,0,55,11,2,110,0,6.0,1395186
1490,"Ali Sal",91.0,0,"","TH",1128,7.0,3,13,1,0,150,11,2,103,1,7.0,1395657
1491,"Witold Dobrodziej",91.0,0,"","PL",1161,4.0,2,2,0,0,17,11,2,22,0,8.0,1056052
1492,"Bruno Tugores",91.0,0,"","AR",1168,5.0,2,3,0,0,9,9,2,35,0,10.0,1244550
1493,"David Duncan5",91.0,0,"","US",1694,5.0,2,3,0,0,13,6,1,37,0,3.0,974411
1494,"Joel Espinoza",91.0,0,"","PE",1302,6.0,2,5,0,0,48,11,2,62,0,6.0,1276326
1495,"Matias Ezequiel Marcomini",91.0,0,"","AR",3101,4.0,1,1,0,0,3,2,1,15,0,8.0,643280
1496,"Robert Brown33",91.0,0,"","US",1807,4.0,1,1,0,0,7,5,1,9,0,8.0,700503
1497,"Matt England",91.0,0,"","US",2255,5.0,1,1,0,0,1,3,1,15,0,7.0,854199
1498,"Tanner Deveze2",91.0,0,"","US",3103,5.0,1,1,0,0,4,2,1,9,0,5.0,837468
1499,"Daniel X Shields",91.0,0,"","CA",1351,6.0,1,2,0,0,19,8,2,24,0,7.0,1002192
1500,"Luis Navarro2",91.0,0,"","MX",1841,7.0,1,2,0,0,5,6,1,21,0,8.0,1062800
1501,"Rodrigo De Francisco",91.0,0,"","CO",2358,7.0,1,3,0,0,18,5,1,27,0,9.0,484698
1502,"Stefan Struwe2",91.0,0,"","DE",2604,6.0,0,1,0,0,7,2,1,9,0,9.0,980759
1503,"Guillot Pierre",91.0,0,"","FR",1553,9.0,0,3,0,0,20,5,2,30,0,5.0,1356866
1504,"Guillaume Ferrus",90.6666641,0,"","FR",1630,7.0,5,9,6,0,40,11,1,92,2,5.0,1336679
1505,"Nick Stephens",90.5,0,"","US",1521,5.0,4,8,0,0,85,11,2,68,0,6.0,1346673
1506,"Vyacheslav Sergeev",90.5,0,"","KZ",1320,6.0,3,6,0,0,31,11,2,48,0,6.0,1333109
1507,"Brodie Glover",90.5,0,"","AU",1948,6.0,2,5,0,0,28,4,1,74,0,7.0,1149122
1508,"Thomas Poulsen",90.3333359,0,"","DK",1707,4.0,7,10,67,4,50,11,1,138,2,3.0,456712
1509,"Tirso Pascual",90.2142868,0,"","ES",981,6.0,14,31,41,2,225,11,2,270,3,6.0,1393467
